pin,slack
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_22[69]:B,8537
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_22[69]:C,8471
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_22[69]:Y,8471
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[37]:A,14328
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[37]:B,13503
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[37]:C,3079
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[37]:D,2140
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23_RNO[37]:Y,2140
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1_0_wmux_0[0]:A,3892
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1_0_wmux_0[0]:B,4634
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1_0_wmux_0[0]:C,11708
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1_0_wmux_0[0]:D,11485
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_1_0_wmux_0[0]:Y,3892
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_34[2]:A,9433
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_34[2]:B,8565
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_34[2]:C,8499
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_34[2]:Y,8499
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_RX_LANE2_ERR_CNT[11]:ALn,
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_RX_LANE3_ERR_CNT[19]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_3_3_0_a3[37]:A,10885
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_3_3_0_a3[37]:B,10856
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_3_3_0_a3[37]:Y,10856
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/un1_rx_align_pos_66_cry_5:A,12636
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/un1_rx_align_pos_66_cry_5:B,1615
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/un1_rx_align_pos_66_cry_5:CC,1301
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/un1_rx_align_pos_66_cry_5:P,1615
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/un1_rx_align_pos_66_cry_5:S,1301
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/un1_rx_align_pos_66_cry_5:Y3,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/un1_rx_align_pos_66_cry_5:Y3A,1686
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_70[76]:A,10968
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_70[76]:B,9202
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_70[76]:C,9136
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_70[76]:Y,9136
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[31]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[31]:CLK,9395
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[31]:D,15099
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[31]:Q,9395
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_buff[31]:SLn,4269
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_3[9]:A,10173
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_3[9]:B,9305
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_3[9]:C,9239
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_3[9]:Y,9239
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_0_1[25]:A,3586
